card_id,customer_id,card_number,issued_date,credit_limit_inr,current_balance_inr,status
7000001,17,4863311204478120,2024-12-02,1000000,535315.63,ACTIVE
7000002,102,4329741100058541,2024-09-29,100000,7425.72,ACTIVE
7000003,234,4956824810582650,2023-07-07,500000,330952.27,CANCELLED
7000004,44,4843431585646148,2024-10-25,500000,56494.27,ACTIVE
7000005,29,4849529885433243,2024-06-12,1000000,31062.52,ACTIVE
7000006,114,4112787604787760,2025-07-12,100000,22811.24,ACTIVE
7000007,255,4438179788378769,2025-02-26,50000,21711.08,ACTIVE
7000008,292,4104959733223765,2024-07-11,100000,31474.87,ACTIVE
7000009,292,4532443841155597,2023-06-09,500000,90657.48,ACTIVE
7000010,174,4313507942072259,2024-09-20,100000,44353.41,ACTIVE
7000011,233,4307893785338653,2023-03-02,200000,107365.61,ACTIVE
7000012,43,4252272675640061,2025-12-08,200000,73734.31,ACTIVE
7000013,85,4789022619366074,2024-10-27,100000,12910.84,ACTIVE
7000014,277,4434620994866539,2025-05-18,50000,41624.09,ACTIVE
7000015,79,4602089876499451,2024-01-03,200000,67821.48,ACTIVE
7000016,35,4330150671779993,2024-10-28,100000,75509.04,ACTIVE
7000017,242,4228355084585528,2025-08-10,50000,35463.81,ACTIVE
7000018,106,4516641887644378,2025-09-14,1000000,55095.35,ACTIVE
7000019,186,4735259527802365,2025-01-16,1000000,771470.18,ACTIVE
7000020,97,4460598472204039,2023-07-08,200000,156827.29,ACTIVE
7000021,135,4359515063897388,2024-03-21,500000,3689.63,ACTIVE
7000022,188,4779547943118350,2024-09-28,50000,33157.5,ACTIVE
7000023,271,4783481217720061,2023-05-05,100000,30967.67,ACTIVE
7000024,41,4931753753260095,2023-08-19,1000000,297507.71,ACTIVE
7000025,286,4143122743875264,2024-09-15,50000,24107.78,ACTIVE
7000026,198,4614785294951849,2024-09-06,100000,89630.4,ACTIVE
7000027,213,4672497828277811,2024-08-08,200000,24390.14,ACTIVE
7000028,171,4481851434623955,2023-12-30,200000,155257.04,ACTIVE
7000029,171,4635786511136434,2025-06-12,1000000,640281.02,ACTIVE
7000030,291,4777094170703595,2024-04-27,200000,135917.02,ACTIVE
7000031,89,4580044139360717,2023-02-17,50000,3931.11,BLOCKED
7000032,249,4988953781363254,2023-04-11,1000000,562909.57,ACTIVE
7000033,26,4679782503253417,2024-08-29,200000,169936.13,ACTIVE
7000034,61,4621817844748787,2025-01-01,1000000,67051.57,ACTIVE
7000035,16,4201467811908237,2023-09-09,100000,46868.92,ACTIVE
7000036,195,4887525457277724,2023-05-11,50000,35661.58,ACTIVE
7000037,156,4835145288923956,2024-06-20,200000,101583.38,ACTIVE
7000038,119,4722625629778284,2023-11-14,200000,18905.4,ACTIVE
7000039,162,4420762104215406,2024-07-07,200000,160822.41,ACTIVE
7000040,172,4345412835223916,2025-12-18,200000,136926.21,ACTIVE
7000041,54,4255387137815871,2023-03-27,1000000,231457.68,ACTIVE
7000042,68,4839666802273048,2023-03-21,500000,380941.49,ACTIVE
7000043,118,4594712721070674,2025-10-29,200000,90209.74,CANCELLED
7000044,211,4248853297917202,2024-12-17,100000,45225.45,ACTIVE
7000045,222,4108130338987400,2023-04-24,100000,19587.14,ACTIVE
7000046,289,4752304967997779,2023-04-09,500000,5551.06,ACTIVE
7000047,260,4244746431559683,2025-11-21,50000,30862.08,ACTIVE
7000048,125,4110847539940637,2023-02-12,500000,18005.6,ACTIVE
7000049,70,4120389534134880,2025-06-14,1000000,522526.35,CANCELLED
7000050,15,4416394091329779,2023-02-27,500000,272114.44,ACTIVE
7000051,65,4744788964060898,2024-06-10,100000,60839.6,ACTIVE
7000052,9,4766491853976864,2024-06-26,500000,267451.01,ACTIVE
7000053,190,4715581709737983,2023-04-24,1000000,796266.81,BLOCKED
7000054,103,4577290413094776,2025-09-08,1000000,309798.69,BLOCKED
7000055,147,4796564680524379,2024-07-10,500000,334836.25,ACTIVE
7000056,166,4909778613620738,2023-11-18,200000,40274.68,ACTIVE
7000057,287,4640214527554688,2025-05-08,500000,3761.94,ACTIVE
7000058,287,4211112996054308,2023-06-17,500000,327533.89,ACTIVE
7000059,83,4750260460237975,2023-08-19,200000,11974.72,ACTIVE
7000060,122,4611679171858180,2023-04-22,1000000,168440.46,CANCELLED
7000061,88,4685785273805644,2023-05-13,1000000,700874.46,ACTIVE
7000062,163,4480525297088723,2024-07-26,100000,33763.27,ACTIVE
7000063,117,4445193112112948,2024-09-27,100000,35903.49,ACTIVE
7000064,19,4892126237848426,2025-09-27,50000,18617.61,ACTIVE
7000065,258,4531351983062171,2025-11-19,50000,38641.89,ACTIVE
7000066,218,4306779427438341,2025-01-08,1000000,91409.8,ACTIVE
7000067,92,4880286506882569,2025-05-09,1000000,46631.55,BLOCKED
7000068,247,4157633666389989,2024-07-13,500000,91367.59,ACTIVE
