customer_id,first_name,last_name,gender,dob,email,phone,city,registered_date,pan
1,Tanvi,Talwar,F,1973-09-25,tanvi.talwar1@example.in,9807992155,Gaya,2025-02-21,SKRJX8397A
2,Riya,Bhat,M,1981-01-19,riya.bhat2@example.in,9818228310,Ahmedabad,2024-02-27,ASBBA6413A
3,Sneha,Iyer,F,1991-04-18,sneha.iyer3@example.in,9953763327,Dehradun,2021-10-16,GMKCR6804D
4,Pankaj,Saxena,O,1963-11-21,pankaj.saxena4@example.in,9732541181,Hyderabad,2024-09-03,KIWGE8350B
5,Deepak,Mehta,F,1989-04-28,deepak.mehta5@example.in,9995453652,Coimbatore,2021-06-22,CQOAC4872B
6,Pankaj,Nath,F,1973-07-02,pankaj.nath6@example.in,9701157156,Indore,2021-12-22,ZGULK8973B
7,Aditi,Mishra,M,1963-10-24,aditi.mishra7@example.in,9868365303,Delhi,2024-02-03,BPNWE9320A
8,Saanvi,Gupta,O,1964-11-28,saanvi.gupta8@example.in,9764363633,Indore,2022-05-15,YOPBC9565C
9,Neha,Kapoor,O,1980-04-09,neha.kapoor9@example.in,9861059704,Chennai,2023-04-09,LYYAQ2638A
10,Maya,Kapoor,O,1976-03-12,maya.kapoor10@example.in,9831149196,Bengaluru,2025-12-28,JEVSP9666A
11,Divya,Bajpai,F,1966-03-09,divya.bajpai11@example.in,9997009682,Hyderabad,2021-09-12,EHFIR5325D
12,Neha,Patel,M,2000-07-27,neha.patel12@example.in,9701903577,Delhi,2022-08-08,IDZEL8007A
13,Krishna,Gupta,O,1969-09-02,krishna.gupta13@example.in,9996634652,Nagpur,2025-09-24,DDIXU1653C
14,Isha,Tandon,M,1966-06-25,isha.tandon14@example.in,9782975191,Bhopal,2024-03-10,YGEUE7755A
15,Saanvi,Mahajan,F,1986-11-28,saanvi.mahajan15@example.in,9843240225,Ahmedabad,2025-03-04,ESJBM4269D
16,Vikram,Trivedi,M,1974-01-22,vikram.trivedi16@example.in,9876234293,Indore,2022-02-18,HBUJN9785C
17,Vivaan,Nair,F,1971-10-09,vivaan.nair17@example.in,9933304641,Hyderabad,2021-04-07,IULZD4114C
18,Aditya,Thakur,F,1960-09-26,aditya.thakur18@example.in,9805782431,Guwahati,2024-01-26,JBRII3041C
19,Sneha,Trivedi,O,1986-06-13,sneha.trivedi19@example.in,9997647935,Lucknow,2024-12-16,DKYRX5930D
